oprator_id,oprator_name,oprator_code,oprator_type,created_at,is_deactive,is_deleted
1,AIRTEL,1,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
2,IDEA,2,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
3,BSNL Topup,3,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
4,BSNL Special,4,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
5,JIO,5,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
6,VODAFONE,6,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
7,AIRTEL DTH,7,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
8,DISH TV,8,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
9,RELIANCE BIGTV,9,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
10,SUN DIRECT,10,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
11,TATA SKY,11,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
12,VIDEOCON D2H,12,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
13,JVVNL,13,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
14,Ajmer Vidyut Vitran Nigam Ltd. (AVVNL),14,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
15,AIRTEL POSTPAID,15,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
16,BSNL POSTPAID,16,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
17,IDEA POSTPAID,17,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
18,TIKONA Broadband,18,Broadband/Landline,2024-11-19 15:23:00.307454+05:30,t,f
19,VODAFONE POSTPAID,19,Mobile Recharge,2024-11-19 15:23:00.307454+05:30,t,f
20,AIRTEL DIGITAL TV,20,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
21,"DISH TV,",21,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
22,"SUN DIRECT,",22,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
23,"TATA SKY,",23,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
24,"VIDEOCON D2H,",24,DTH Recharge,2024-11-19 15:23:00.307454+05:30,t,f
25,AIRTEL LANDLINE,25,Broadband/Landline,2024-11-19 15:23:00.307454+05:30,t,f
26,BSNL Landline-Online,26,Broadband/Landline,2024-11-19 15:23:00.307454+05:30,t,f
27,Connect Broadband-Retail,27,Broadband/Landline,2024-11-19 15:23:00.307454+05:30,t,f
28,MTNL Delhi Landline-Retail,28,Broadband/Landline,2024-11-19 15:23:00.307454+05:30,t,f
29,MTNL Mumbai Landline-Retail,29,Broadband/Landline,2024-11-19 15:23:00.307454+05:30,t,f
30,"Ajmer Vidyut Vitran Nigam Ltd. (AVVNL),",30,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
31,Bharatpur Electricity Services Ltd. (BESL),31,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
32,Bikaner Electricity Supply Limited (BKESL),32,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
33,BSES Rajdhani Power Limited,33,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
34,BSES Yamuna Power Limited,34,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
35,Calcutta Electricity Supply Ltd (CESC LTD),35,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
36,Chhattisgarh State Power Distribution Company Ltd.,36,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
37,Daman and Diu Electricity,37,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
38,DNH Power Distribution Company Limited,38,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
39,Eastern Power Distribution Co. Ltd (APEPDCL),39,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
40,Hubli Electricity Supply Company Ltd. (HESCOM),40,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
41,JUSCO - JAMSHEDPUR,41,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
42,Jodhpur Vidyut Vitran Nigam Ltd. (JDVVNL),42,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
43,Kota Electricity Distribution Ltd. (KEDL),43,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
44,Madhya Gujarat Vij Company Limited (MGVCL),44,Electricity Bill,2024-11-19 15:23:00.307454+05:30,t,f
45,Mangalore Electricity Supply Company Ltd. (MESCOM),45,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
46,Meghalaya Power Distribution Corporati on Ltd,46,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
47,Noida Power Company Limited (NPCL),47,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
48,Paschim Gujarat Vij Company Limited (PGVCL),48,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
49,Punjab State Power Corporation Limited (PSPCL),49,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
50,SNDL Nagpur,50,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
51,Southern Power Distribution Co. Ltd (APSPDCL),51,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
52,Tata Power - Mumbai,52,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
53,Tripura State Electricity Corporation Ltd,53,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
54,Uttar Gujarat Vij Company Limited (UGVCL),54,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
55,Uttar Haryana Bijli Vitran Nigam Limited (UHBVNL),55,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
56,Uttar Pradesh Power Corp Ltd (UPPCL) - RURAL,56,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
57,Uttarakhand Power Corporation Limited,57,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
58,ADANI GAS,58,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
59,Gujarat Gas company Limited,59,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
60,Haryana City gas,60,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
61,IGL (Indraprasth Gas Limited),61,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
62,MAHANAGAR GAS LIMITED,62,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
63,Sabarmati Gas Limited (SGL),63,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
64,Siti Energy,64,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
65,Tripura Natural Gas Company Ltd,65,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
66,Unique Central Piped Gases Pvt Ltd (UCPGPL),66,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
67,Bharti Axa Life Insurance,67,Insurance Payment,2024-11-19 15:23:00.308454+05:30,t,f
68,Tata AIG Life,68,Insurance Payment,2024-11-19 15:23:00.308454+05:30,t,f
69,Delhi Jal Board-Retail,69,Water,2024-11-19 15:23:00.308454+05:30,t,f
70,Municipal Corporation of Gurugram-Retail,70,Water,2024-11-19 15:23:00.308454+05:30,t,f
71,UIT Bhiwadi-Retail,71,Water,2024-11-19 15:23:00.308454+05:30,t,f
72,Uttarakhand Jal Sansthan(B2B)-Retail,72,Water,2024-11-19 15:23:00.308454+05:30,t,f
73,RELIANCE,73,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
74,TATA INDICOM,74,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
75,AIRTEL Datacard,75,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
76,AIRCEL,76,Mobile Recharge,2024-11-19 15:23:00.308454+05:30,t,f
77,"IDEA,",77,Mobile Recharge,2024-11-19 15:23:00.308454+05:30,t,f
78,BSNL,78,Mobile Recharge,2024-11-19 15:23:00.308454+05:30,t,f
79,"VODAFONE ,",79,Mobile Recharge,2024-11-19 15:23:00.308454+05:30,t,f
80,Connect Broadband-Online,80,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
81,Hathway Broadband - Retail,81,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
82,Hathway Broadband - Online,82,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
83,"MTS,",83,Mobile Recharge,2024-11-19 15:23:00.308454+05:30,t,f
84,Jharkhand Bijli Vitran Nigam Limited (JBVNL),84,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
85,Adani Electricity Mumbai Limited,85,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
86,Torrent Power (Agra),86,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
87,Torrent Power (Ahmedabad),87,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
88,Tamil Nadu Electricity Board (TNEB),88,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
89,TP Ajmer Distribution Ltd (TPADL),89,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
90,BSNL Landline-Retail,90,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
91,MTNL Delhi Landline-Online,91,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
92,UIT Bhiwadi-Online,92,Broadband/Landline,2024-11-19 15:23:00.308454+05:30,t,f
93,Uttarakhand Jal Sansthan(B2C)-Online,93,Water,2024-11-19 15:23:00.308454+05:30,t,f
94,Delhi Jal Board-Online,94,Water,2024-11-19 15:23:00.308454+05:30,t,f
95,Municipal Corporation of Gurugram-Online,95,Water,2024-11-19 15:23:00.308454+05:30,t,f
96,Vadodara Gas Limited,96,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
97,ICICI Pru Life,97,Insurance Payment,2024-11-19 15:23:00.308454+05:30,t,f
98,Life Insurance Corporation of India(LIC),98,Insurance Payment,2024-11-19 15:23:00.308454+05:30,t,f
99,Department of Power Nagaland,99,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
100,Sikkim Power - URBAN,100,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
101,Goa Electricity Department,101,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
102,Kanpur Electricity Supply Company Ltd.,102,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
103,Kerala State Electricity Board Ltd. (KSEBL),103,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
104,Greater Warangal Municipal Corporation - Water,104,Water,2024-11-19 15:23:00.308454+05:30,t,f
105,Municipal Corporation of Amritsar,105,Water,2024-11-19 15:23:00.308454+05:30,t,f
106,Ranchi Municipal Corporation,106,Water,2024-11-19 15:23:00.308454+05:30,t,f
107,Silvassa Municipal Council,107,Water,2024-11-19 15:23:00.308454+05:30,t,f
108,Ujjain Nagar Nigam - PHED,108,Water,2024-11-19 15:23:00.308454+05:30,t,f
109,Central UP Gas,109,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
110,Charotar Gas Sahakari Mandali Limited,110,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
111,GAIL Gas Limited,111,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
112,Indian Oil Adani Gas Pvt Ltd,112,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
113,IRM Energy Private Limited,113,Piped Gas,2024-11-19 15:23:00.308454+05:30,t,f
114,Himachal Pradesh State Electricity Board,114,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
115,Torrent Power (Bhiwandi),115,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
116,Power And Electricity Department - MIZORAM,116,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
117,New Delhi Municipal Council (NDMC),117,Electricity Bill,2024-11-19 15:23:00.308454+05:30,t,f
