state_id,state_name,code,is_actvie_created_at,created_by,updated_at,updated_by
1,Andaman and Nicobar Islands,35,t,,,,
2,Andhra Pradesh,37,t,,,,
3,Arunachal Pradesh,12,t,,,,
4,Assam,18,t,,,,
5,Bihar,10,t,,,,
6,Chandigarh,4,t,,,,
7,Chhattisgarh,22,t,,,,
8,Dadra and Nagar Haveli,26,t,,,,
9,Daman and Diu,25,t,,,,
10,Delhi,7,t,,,,
11,Goa,30,t,,,,
12,Gujarat,24,t,,,,
13,Haryana,6,t,,,,
14,Himachal Pradesh,2,t,,,,
15,Jammu and Kashmir,1,t,,,,
16,Jharkhand,20,t,,,,
17,Karnataka,29,t,,,,
18,Kerala,32,t,,,,
19,Lakshadweep,31,t,,,,
20,Madhya Pradesh,23,t,,,,
21,Maharashtra,27,t,,,,
22,Manipur,14,t,,,,
23,Meghalaya,17,t,,,,
24,Mizoram,15,t,,,,
25,Nagaland,13,t,,,,
26,Odisha,21,t,,,,
27,Pondicherry,34,t,,,,
28,Punjab,3,t,,,,
29,Rajasthan,8,t,,,,
30,Sikkim,11,t,,,,
31,Tamil Nadu,33,t,,,,
32,Telangana,36,t,,,,
33,Tripura,16,t,,,,
34,Uttar Pradesh,9,t,,,,
35,Uttarakhand,5,t,,,,
36,West Bengal,19,t,,,,
